,Description (also set on the server),Exp (also set on the server),Card,Tome Section,Index,Flag 1,Flag 2,"Flag 3 ",Flag 4,Flag 5,Flag 6,Flag 7,Flag 8,Flag 9,Flag 10,Flag 11,Flag 12,Flag 13,Flag 14,Flag 15,Flag 16,Flag 17,Flag 18,Flag 19,Flag 20,Flag 21,Flag 22,Flag 23,Flag 24,Flag 25,Flag 26,Flag 27,Flag 28,Flag 29,Flag 30,Flag 31,Flag 32,Flag 33,Flag 34,Flag 35,Flag 36
3414,Dwarfen Engineer,806,,1,42,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3415,Dwarfen Engineer,1050,,1,42,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3416,Dwarfen Engineer,1476,,1,42,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3417,Dwarfen Engineer,1716,,1,42,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3418,Dwarfen Engineer,1800,,1,42,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419,Dwarfen Engineer,1974,,1,42,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3420,Slayer (PvP),84,,1,43,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3421,Slayer (PvP),204,,1,43,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3422,Slayer (PvP),336,,1,43,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3423,Slayer (PvP),500,,1,43,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3424,Slayer (PvP),806,,1,43,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3425,Slayer (PvP),1050,,1,43,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3426,Slayer (PvP),1476,,1,43,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3427,Slayer (PvP),1716,,1,43,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3428,Slayer (PvP),1800,,1,43,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,Slayer (PvP),1974,,1,43,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3430,Ironbreaker,84,,1,44,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3431,Ironbreaker,204,,1,44,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3432,Ironbreaker,336,,1,44,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3433,Ironbreaker,500,,1,44,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3434,Ironbreaker,806,,1,44,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3435,Ironbreaker,1050,,1,44,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3436,Ironbreaker,1476,,1,44,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3437,Ironbreaker,1716,,1,44,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3438,Ironbreaker,1800,,1,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3439,Ironbreaker,1974,,1,44,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3440,Runepriest,84,,1,45,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3441,Runepriest,204,,1,45,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3442,Runepriest,336,,1,45,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3443,Runepriest,500,,1,45,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3444,Runepriest,806,,1,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3445,Runepriest,1050,,1,45,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3446,Runepriest,1476,,1,45,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447,Runepriest,1716,,1,45,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3448,Runepriest,1800,,1,45,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3449,Runepriest,1974,,1,45,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450,Slayer (PvE),84,,1,46,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3451,Slayer (PvE),204,,1,46,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3452,Slayer (PvE),336,,1,46,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3453,Slayer (PvE),500,,1,46,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454,Slayer (PvE),806,,1,46,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3455,Slayer (PvE),1050,,1,46,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456,Slayer (PvE),1476,,1,46,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3457,Slayer (PvE),1716,,1,46,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458,Slayer (PvE),1800,,1,46,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3459,Slayer (PvE),1974,,1,46,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3460,Empire,84,,1,47,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461,Empire,204,,1,47,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3462,Empire,336,,1,47,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3463,Empire,500,,1,47,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3464,Empire,806,,1,47,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3465,Empire,1254,,1,47,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3466,Empire,1476,,1,47,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3467,Empire,1716,,1,47,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3468,Empire,1800,,1,47,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3469,Empire,1974,,1,47,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3470,Bright Wizard,84,,1,48,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3471,Bright Wizard,204,,1,48,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3472,Bright Wizard,336,,1,48,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3473,Bright Wizard,500,,1,48,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3474,Bright Wizard,806,,1,48,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3475,Bright Wizard,1050,,1,48,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3476,Bright Wizard,1476,,1,48,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3477,Bright Wizard,1716,,1,48,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3478,Bright Wizard,1800,,1,48,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3479,Bright Wizard,1974,,1,48,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3480,Knight of the Blazing Sun,84,,1,49,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3481,Knight of the Blazing Sun,204,,1,49,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3482,Knight of the Blazing Sun,336,,1,49,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3483,Knight of the Blazing Sun,500,,1,49,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3484,Knight of the Blazing Sun,806,,1,49,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3485,Knight of the Blazing Sun,1050,,1,49,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3486,Knight of the Blazing Sun,1476,,1,49,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3487,Knight of the Blazing Sun,1716,,1,49,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3488,Knight of the Blazing Sun,1800,,1,49,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3489,Knight of the Blazing Sun,1974,,1,49,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3490,Warrior Priest,84,,1,50,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3491,Warrior Priest,204,,1,50,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3492,Warrior Priest,336,,1,50,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3493,Warrior Priest,500,,1,50,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3494,Warrior Priest,806,,1,50,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3495,Warrior Priest,1050,,1,50,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3496,Warrior Priest,1476,,1,50,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3497,Warrior Priest,1716,,1,50,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3498,Warrior Priest,1800,,1,50,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3499,Warrior Priest,1974,,1,50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3500,Witch Hunter,84,,1,51,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501,Witch Hunter,204,,1,51,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3502,Witch Hunter,336,,1,51,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3503,Witch Hunter,500,,1,51,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504,Witch Hunter,806,,1,51,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3505,Witch Hunter,1050,,1,51,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3506,Witch Hunter,1476,,1,51,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3507,Witch Hunter,1716,,1,51,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3508,Witch Hunter,1800,,1,51,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3509,Witch Hunter,1974,,1,51,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3510,Flamer of Tzeentch,84,,1,52,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3511,Flamers of Tzeentch,204,,1,52,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3512,Flamers of Tzeentch,336,,1,52,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3513,Flamers of Tzeentch,500,,1,52,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3514,Flamers of Tzeentch,806,,1,52,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3515,Flamers of Tzeentch,1050,,1,52,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3516,Flamers of Tzeentch,1476,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3517,Flamers of Tzeentch,1716,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3518,Flamers of Tzeentch,1800,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3519,Flamers of Tzeentch,1974,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3520,Flayerkin,84,,1,53,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3521,Flayerkin,204,,1,53,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3522,Flayerkin,336,,1,53,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3523,Flayerkin,500,,1,53,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3524,Flayerkin,806,,1,53,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3525,Flayerkin,1050,,1,53,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3526,Flayerkin,1476,,1,53,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3527,Flayerkin,1716,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3528,Flayerkin,1800,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3529,Flayerkin,1974,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3530,Fleshhound of Khorne,84,,1,54,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3531,Fleshhounds of Khorne,204,,1,54,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3532,Fleshhounds of Khorne,336,,1,54,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533,Fleshhounds of Khorne,500,,1,54,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3534,Fleshhounds of Khorne,806,,1,54,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535,Fleshhounds of Khorne,1050,,1,54,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536,Fleshhounds of Khorne,1476,,1,54,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3537,Fleshhounds of Khorne,1716,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3538,Fleshhounds of Khorne,1800,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3539,Fleshhounds of Khorne,1974,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3540,Banshee,84,,1,55,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3541,Banshee,204,,1,55,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3542,Banshee,336,,1,55,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3543,Banshee,500,,1,55,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3544,Banshee,806,,1,55,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3545,Banshee,1050,,1,55,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3546,Banshee,1476,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3547,Banshee,1716,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3548,Banshee,1800,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3549,Banshee,1974,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3550,Spirit Host,84,,1,56,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3551,Spirit Host,204,,1,56,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3552,Spirit Host,336,,1,56,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3553,Spirit Host,500,,1,56,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3554,Spirit Host,806,,1,56,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3555,Spirit Host,1050,,1,56,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3556,Spirit Host,1476,,1,56,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3557,Spirit Host,1716,,1,56,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3558,Spirit Host,1800,,1,56,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3559,Spirit Host,1974,,1,56,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3560,Wraith,84,,1,57,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3561,Wraith,204,,1,57,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3562,Wraith,336,,1,57,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3563,Wraith,500,,1,57,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3564,Wraith,806,,1,57,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3565,Wraith,1050,,1,57,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3566,Wraith,1476,,1,57,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3567,Wraith,1716,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3568,Wraith,1800,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3569,Wraith,1974,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3570,Ghoul,84,,1,58,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3571,Ghoul,204,,1,58,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3572,Ghoul,336,,1,58,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3573,Ghoul,500,,1,58,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3574,Ghoul,806,,1,58,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3575,Ghoul,1050,,1,58,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3576,Ghoul,1476,,1,58,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3577,Ghoul,1716,,1,58,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3578,Ghoul,1800,,1,58,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3579,Ghoul,1974,,1,58,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3580,Giant,84,,1,59,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3581,Giant,204,,1,59,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3582,Giant,336,,1,59,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3583,Giant,500,,1,59,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3584,Giant,806,,1,59,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3585,Giant,1050,,1,59,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3586,Giant,1476,,1,59,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3587,Giant,1716,,1,59,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3588,Giant,1800,,1,59,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3589,Giant,1974,,1,59,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3590,Chaos Giant,84,,1,60,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3591,Chaos Giant,204,,1,60,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3592,Chaos Giant,336,,1,60,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3593,Chaos Giant,500,,1,60,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3594,Chaos Giant,806,,1,60,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3595,Chaos Giant,1050,,1,60,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3596,Chaos Giant,1476,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3597,Chaos Giant,1716,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3598,Chaos Giant,1800,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3599,Chaos Giant,1974,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600,Gnoblar,84,,1,61,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3601,Gnoblar,204,,1,61,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3602,Gnoblar,336,,1,61,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3603,Gnoblar,500,,1,61,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3604,Gnoblar,806,,1,61,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605,Gnoblar,1050,,1,61,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3606,Gnoblar,1476,,1,61,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3607,Gnoblar,1716,,1,61,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3608,Gnoblar,1800,,1,61,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3609,Gnoblar,1974,,1,61,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3610,Goblin,84,,1,62,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3611,Goblin,204,,1,62,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3612,Goblin,336,,1,62,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3613,Goblin,500,,1,62,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3614,Goblin,806,,1,62,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3615,Goblin,1254,,1,62,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3616,Goblin,1476,,1,62,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,Goblin,1716,,1,62,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3618,Goblin,1800,,1,62,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3619,Goblin,1974,,1,62,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3620,Goblin Shaman,84,,1,63,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3621,Goblin Shaman,204,,1,63,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3622,Goblin Shaman,336,,1,63,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3623,Goblin Shaman,500,,1,63,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3624,Goblin Shaman,806,,1,63,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3625,Goblin Shaman,1050,,1,63,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3626,Goblin Shaman,1476,,1,63,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3627,Goblin Shaman,1716,,1,63,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3628,Goblin Shaman,1800,,1,63,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3629,Goblin Shaman,1974,,1,63,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3630,Goblin Squig Herder,84,,1,64,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3631,Goblin Squig Herder,204,,1,64,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3632,Goblin Squig Herder,336,,1,64,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3633,Goblin Squig Herder,500,,1,64,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3634,Goblin Squig Herder,806,,1,64,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3635,Goblin Squig Herder,1050,,1,64,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3636,Goblin Squig Herder,1476,,1,64,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3637,Goblin Squig Herder,1716,,1,64,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3638,Goblin Squig Herder,1800,,1,64,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3639,Goblin Squig Herder,1974,,1,64,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3640,Night Goblin,84,,1,65,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3641,Night Goblin,204,,1,65,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3642,Night Goblin,336,,1,65,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3643,Night Goblin,500,,1,65,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3644,Night Goblin,806,,1,65,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3645,Night Goblin,1050,,1,65,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3646,Night Goblin,1476,,1,65,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3647,Night Goblin,1716,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3648,Night Goblin,1800,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3649,Night Goblin,1974,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3650,Gorger,84,,1,66,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3651,Gorger,204,,1,66,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3652,Gorger,336,,1,66,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,Gorger,500,,1,66,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3654,Gorger,806,,1,66,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3655,Gorger,1050,,1,66,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3656,Gorger,1476,,1,66,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3657,Gorger,1716,,1,66,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3658,Gorger,1800,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3659,Gorger,1974,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3660,Sabertusk,84,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3661,Sabertusk,204,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
